username,score,content,final_review,text,label,label_norm
Fyxhyncx Rydhkv,1,woy uda di batalin langganannya. malah nagih trusðŸ—¿,woy uda batalin langgan nagih trus,woy uda batalin langgan nagih,negatif,negatif
Mrsh Bzhy,1,"hobi banget anjir 5.10, padahal jaringan aman2 aja. buka platform streaming lain jg aman kok, perbaiki deh ya. pantesan ratingnya makin anjlok!",hobi banget anjir jaring aman buka platform streaming aman baik deh pantesan ratingnya anjlok,hobi banget jaring aman buka platform streaming aman pantesan ratingnya anjlok,negatif,negatif
Juliasni Y018,2,"apk jelek anjirr susah banget masuk nya , sdh buat akun msh gk bsh masuk",apk jelek anjirr susah banget masuk nya sdh akun msh bsh masuk,jelek anjirr susah banget masuk sdh akun bsh masuk,negatif,negatif
I Wayan Krisna,3,ribet bet dah login nya,ribet bet dah login nya,ribet bet dah login,negatif,negatif
Ina Senia,3,mau daftar saja sulit,daftar sulit,daftar sulit,negatif,negatif
Angela Romartir,1,apk puki,apk puki,puki,negatif,negatif
Hesti Aprilia,2,"MAKIN LAMA BUKAN MAKIN BAGUS MALAH MAKIN JELEK AJA GRAFIK GAMBARNYA . NGERASA RUGI BANGET BERLANGGANAN , MANA BERLANGGANAN RESMI !!!",bagus jelek grafik gambar ngerasa rugi banget langgan langgan resmi,bagus jelek grafik gambar ngerasa rugi banget langgan langgan resmi,negatif,negatif
campur an,1,"masa baru daftar akun langsung di suruh bayar anggota, udah di aplikasi nya gabisa login. tolol",daftar akun langsung suruh bayar anggota udah aplikasi nya gabisa login tolol,daftar akun langsung suruh bayar anggota gabisa login,negatif,negatif
Ayesha Azaria Saputra,1,gabisa login,gabisa login,gabisa login,negatif,negatif
Cinta Novelia Rosa,3,jujur kenapa tiba-tiba ngestuck gak bisa play tontonan deh?? udah di perbarui padahal apknya masih gak bisa bisa,jujur ngestuck play tonton deh udah baru apknya,jujur ngestuck play tonton apknya,negatif,negatif
SMAN 1 Cineam,1,susah banget skrg harus update household terus tiap mau nonton,susah banget skrg update household nonton,susah banget skrg update household nonton,negatif,negatif
Muhammad Angger Maulana,1,aplikasi gjelas,aplikasi gjelas,gjelas,negatif,negatif
Ynz,1,bikin males banget conan di Bstation malah dihapus gegara aplikasi satu ini,males banget conan bstation hapus gegara aplikasi,males banget conan bstation hapus gegara,negatif,negatif
Vian Nur,1,jelek banget gua gak rekomendasiin bagusn lok-lok,jelek banget gua rekomendasiin bagusn lok lok,jelek banget rekomendasiin bagusn lok lok,negatif,negatif
Abit Kurnia,1,udah langganan gabisa login jangan di download dah parahh,udah langgan gabisa login download dah parah,langgan gabisa login download dah parah,negatif,negatif
Alfian Damiansyah,5,"boros baterai, padahal udah pakai penghemat baterai",boros baterai udah pakai hemat baterai,boros baterai pakai hemat baterai,negatif,negatif
Yogi Manurung97,1,sudah berhenti berlangganan tapi saldo masih kepotong ðŸ‘Ž,henti langgan saldo potong,henti langgan saldo potong,negatif,negatif
Jisoo Sooyaaa,2,Netflix anjg sinyal gua bagus banget lohh knp Ngelag banget pas nonton film di elu buka tiktok lancar jaya di dk elu ngelag banget,netflix anjg sinyal gua bagus banget lohh knp ngelag banget pas nonton film elu buka tiktok lancar jaya elu ngelag banget,anjg sinyal bagus banget lohh knp ngelag banget pas nonton film elu buka tiktok lancar jaya elu ngelag banget,negatif,negatif
yayat novita,1,"aplikasi jelek , film tidak lengkap , sedikit sedikit harus upgrade berbayar gak bagus buat di bayar dan di download",aplikasi jelek film lengkap upgrade bayar bagus bayar download,jelek film lengkap upgrade bayar bagus bayar download,negatif,negatif
ini ano,1,makin lama makin aneh makin mahal makin gajelas kalau ada eps baru tbtb ilang2 sendiri njirla,aneh mahal gajelas eps tbtb ilang njirla,aneh mahal gajelas eps tbtb ilang njirla,negatif,negatif
Alimuddin Alimuddin,1,netflix ribet amat daftar ny,netflix ribet daftar nya,ribet daftar,negatif,negatif
akrom resa_,1,buruk,buruk,buruk,negatif,negatif
Riska Nauly Rambe,1,"jelek bgt, rugi berlangganan sama Netflix!!!",jelek banget rugi langgan netflix,jelek banget rugi langgan,negatif,negatif
Am Mod,1,"uang saya kesedot sendiri, padahal gaada niat langganan, mohon kembalikan uang saya",uang sedot gaada niat langgan mohon kembali uang,uang sedot gaada niat langgan mohon uang,negatif,negatif
Kurniawan Dian,1,konten anak berisi lgbt,konten anak isi lgbt,konten anak isi lgbt,negatif,negatif
Ida 123,1,gak lengkap dan sudah login dan susah masuk ke dalam apk ini,lengkap login susah masuk apk,lengkap login susah masuk,negatif,negatif
On Bold,1,"saran saya sebelum langganan dengan Netflix ada baiknya lihat ulasan orang lain terlebih dahulu,,saya menyesal berlangganan dengan Netflix,, sangat kecewa",saran langgan netflix baik lihat ulas orang sesal langgan netflix kecewa,saran langgan lihat ulas orang sesal langgan kecewa,negatif,negatif
Andika,1,"males banget ngentottt, mau batalin aja ga mau",males banget ngentot batalin,males banget ngentot batalin,negatif,negatif
sat ria,1,ku blacklist apl ini dari hidupku,blacklist apl hidup,blacklist apl hidup,negatif,negatif
putu widiantara,4,ribet settingan ke smart tv,ribet settingan smart,ribet settingan smart,negatif,negatif
Koboy Timur Raja Mars minicraft,1,kembalikan saldo saya. saya sudah berhenti berlangganan kenapa masih di potong.,kembali saldo henti langgan potong,saldo henti langgan potong,negatif,negatif
Mujib Syawaludin,5,susah masuk apalah ini aplikasi,susah masuk apa aplikasi,susah masuk,negatif,negatif
dhnti dhnti,1,apk terbangsat,apk bangsat,bangsat,negatif,negatif
Nona jingga,1,ruk buruk,ruk buruk,ruk buruk,negatif,negatif
Muhammad Hafyalbadali,1,ad lgbt jir,lgbt jir,lgbt jir,negatif,negatif
Dewi Mira,1,ribet,ribet,ribet,negatif,negatif
Yuki Mikasa,1,Stop kampanye LGBT,stop kampanye lgbt,stop kampanye lgbt,negatif,negatif
Ir Wandi,1,aplikasi buruk,aplikasi buruk,buruk,negatif,negatif
Ahmad Abdul wafi,1,aneh aplikasinya no telp udah bener sandi udah bener tapi gak bisa masuk emang dasar,aneh aplikasi telp udah bener sandi udah bener masuk emang dasar,aneh telp bener sandi bener masuk emang dasar,negatif,negatif
Jael Fery,1,apk sampah,apk sampah,sampah,negatif,negatif
Winda Revita Purba,1,video macetttttttt,video macet,video macet,negatif,negatif
Hakuna Hatahutu,1,"tlong deh ya? q dah byr fiawal 54rb / bln, lah ini plah eror gak bsa byat jonton gmna ? penipuan kah ?",tlong deh dah byr fiawal bln plah eror bsa byat jonton gmna tipu kah,tlong dah byr fiawal bln plah eror bsa byat jonton gmna tipu kah,negatif,negatif
Meli Sartika,1,"mau login aja susah amat, sinting ni apk makin lama makin buat emosi",login susah sinting apk emosi,login susah sinting emosi,negatif,negatif
Ghifarr,1,No LGBT,lgbt,lgbt,negatif,negatif
Tessa Novitasari,4,tampilan Netflix sekarang jelek bgt :'(,tampil netflix jelek banget,tampil jelek banget,negatif,negatif
Mr. X,1,"aplikasi bangke , mau buat akun aja ribet banget ngentod , kapan mau nonton nya asik ngecek email ngecek emailðŸ—¿",aplikasi bangke akun ribet banget ngentod nonton nya asik ngecek email ngecek email,bangke akun ribet banget ngentod nonton asik ngecek email ngecek email,negatif,negatif
yeni yulansari,1,susah diakses,susah akses,susah akses,negatif,negatif
Ellya Widayanto,1,"mau login atau buat akun aja error mulu, gimana mau berlangganan",login akun error mulu gimana langgan,login akun error mulu gimana langgan,negatif,negatif
Ipong Terupong,1,cuman mau daftar aja ribet banget app sebelah nggak seribet ini,cuman daftar ribet banget app belah seribet,cuman daftar ribet banget belah seribet,negatif,negatif
Fakhri Rizqy,1,woy aplikasi pepek kau balekkan uang ku anj enak kali kau aku enggak langganan lagi kok bisa dana ku ko ambil anj,woy aplikasi pepek kau balekkan uang anj enak kali kau langgan dana ambil anj,woy pepek kau balekkan uang enak kali kau langgan dana ambil,negatif,negatif
Afifah Ayu,1,"udah daftar kok tetep gabisa masuk, disuruh tempel link dibrowser atau apa itu, yg dimksd itu apa ya?ad yg tau kh?, kesel bgt dicoba berkaliÂ² ttp begitu",udah daftar tetep gabisa masuk suruh tempel link browser dimksd tau kesel banget coba kali ttp,daftar tetep gabisa masuk suruh tempel link browser dimksd tau kesel banget coba kali ttp,negatif,negatif
Jesriman si,1,sudah berhenti berlangganan masih aja saldo sya dikuras,henti langgan saldo sya kuras,henti langgan saldo sya kuras,negatif,negatif
DIKI 5529B,1,"Assalamu'alaikum. Kpd yg terhormat aplikasi netflix. Aplikasi satu satu nya yg sangat jelek. Begitu saya download, dan saya coba daftar pakek gmail, langsung di arah kan ke gmail, di suruh bayar 54.000.itu kita sebagai warga Indonesia yg kurang mampu. Ngapain di buat aplikasi sejelek ini. Saya sangat kecewa.",assalamu alaikum kpd hormat aplikasi netflix aplikasi nya jelek download coba daftar pakek gmail langsung arah gmail suruh bayar warga indonesia ngapain aplikasi jelek kecewa,assalamu alaikum kpd hormat jelek download coba daftar pakek gmail langsung arah gmail suruh bayar warga indonesia ngapain jelek kecewa,negatif,negatif
Zila Zila,1,Aplikasinya jelek banget lebih bagus aplikasi sebelah(tahu kah aplikasi mana) aku lebih suka aplikasi sebelah dari pada aplikasi ini!ðŸ‘Ž,aplikasi jelek banget bagus aplikasi belah kah aplikasi suka aplikasi belah aplikasi,jelek banget bagus belah kah suka belah,negatif,negatif
Kalea,5,banyakin film politik atau sejenis nya,banyakin film politik jenis nya,banyakin film politik jenis,netral,netral
Naysila Maya,1,masak gak bisa masuk,masak masuk,masak masuk,netral,netral
Fatih amien,5,wow wow,wow wow,wow wow,netral,netral
xywoc,5,"ðŸ‘maaf tapi tolong di permudahkan kalo nah login yah,",maaf tolong mudah kalo login yah,maaf tolong mudah kalo login yah,netral,netral
Ditya Felix,1,setelah update tidak dapat login ke akun,update login akun,update login akun,netral,netral
Niko A47,5,Terbaik netflix update film terbaru terusðŸ‘ðŸ¼,baik netflix update film baru,update film,netral,netral
The UNIVERSE,1,aplikasi loading,aplikasi loading,loading,netral,netral
Dhifa Dhia,5,memudahkan dalam menonton sinemaÂ².. terima kasih ðŸ™ðŸ¼,mudah tonton sinema terima kasih,mudah tonton sinema terima kasih,netral,netral
Aisyah Nafisatul Ibadiyah,1,gk jelas dari tadi udah pasang loh satu bintang>:(,udah pasang loh bintang,pasang loh bintang,netral,netral
Irawati Firdiyansari,1,"ngiklan horor malem malem, gila lu",ngiklan horor malem malem gila,ngiklan horor malem malem gila,netral,netral
XR:YT AXEL MIRA,1,gak bisa daftar akun...,daftar akun,daftar akun,netral,netral
Muhammad Indrawan,1,"Netflix terlalu banyak masalah , filmnya ga update seperti bioskop",netflix film update bioskop,film update bioskop,netral,netral
Tien Prihatin,4,netflix ku kenapa ya dari semalam ga bisa putar film?,netflix malam putar film,malam putar film,netral,netral
Rahman 27,1,thqy ga bisa login anj,thqy login anj,thqy login,netral,netral
Naufal Syahputra,5,tolong tambahkan fitur timer sleep,tolong tambah fitur timer sleep,tolong fitur timer sleep,netral,netral
Panji Satria abyan,2,tolong dong gak usah ada pembayaran,tolong bayar,tolong bayar,netral,netral
Donny Karouw,1,"film actionnya kurang bnyk, banyak film yg bahula pula",film actionnya bnyk film bahula,film actionnya bnyk film bahula,netral,netral
Muhammad Nur Alias arman siman lammadek,5,okbos,okbos,okbos,netral,netral
Aisa Muhammad,5,akhir nya bisa nonton Boboiboy baraju,nya nonton boboiboy baraju,nonton boboiboy baraju,netral,netral
hadiat hondro,5,harus ada film Skibidi toilet,film skibidi toilet,film skibidi toilet,netral,netral
Dewi Riski,4,terlalu banyak film korea,film korea,film korea,netral,netral
Adam levine,1,Krn mau beli paket dulu biar bisa liat video,krn beli paket biar liat video,beli paket biar liat video,netral,netral
familly,1,tolol g bisa daftar,tolol daftar,daftar,netral,netral
Hasya Sri Hartati,1,menuhin meoriiiii?!?!,menuhin meori,menuhin meori,netral,netral
Dedi Kenedi Channel,4,Ga jln aplikasinyav,jln aplikasinyav,jln aplikasinyav,netral,netral
Alina Kustanti Khairunnisa',1,filmnya gak ada yg mau diliat,film liat,film liat,netral,netral
Nova Hero,1,tidak bisa login,login,login,netral,netral
alat kantor kursi murah,3,di coba semoga lancar,coba moga lancar,coba moga lancar,netral,netral
Sagaf Said,4,bintang 4 dulu,bintang,bintang,netral,netral
indra bzoy,5,boboiboy the. movie,boboiboy the movie,boboiboy the movie,netral,netral
Endah Novitasari,5,"mending 1 bulan 200rb, dari pada 1 hari 200rbðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­",mending,mending,netral,netral
Kakak Yaya,2,tidak bisa putar film di Tab saya,putar film tab,putar film tab,netral,netral
Mitha dwi.p.j,1,kenapa ga bisa login sih ini!,login sih,login sih,netral,netral
F N,4,kenapa ya netflix saya memutar terus,netflix putar,putar,netral,netral
Reza Lazuardi,1,gak bebas nonton banyak aturan,bebas nonton atur,bebas nonton atur,netral,netral
Mas Surono,5,makasih terbaik,makasih baik,terima kasih,netral,netral
Ano Pano1195,1,"kepada yang terhormat Netflix, tolong lah Netflix di update Flim"" barunya, dan subtitle juga semua bahasa Indonesia",hormat netflix tolong netflix update flim baru subtitle bahasa indonesia,hormat tolong update flim subtitle bahasa indonesia,netral,netral
Rifki Ihsan Maulana,4,tolong paket 1080p di turunkan harganya,tolong paket turun harga,tolong paket turun harga,netral,netral
Wjya83,5,update movie 2025 please,update movie please,update movie please,netral,netral
lalas SN,1,kenapa saya tidak bisa akses app netflix di HP lagi y? kalau di TV aman,akses app netflix aman,akses aman,netral,netral
Aira Doang,1,saya gak bisa daftar ya,daftar,daftar,netral,netral
Rohani Naibaho,5,"Ini kenapa saya gak bisa login"" di Netflix min? tolong bantuannya akun ku error apa gimana yah? saya udah berlangganan sama tapi jadi gak bisa digunain karna gak bisa login. Kenapa ini? mohon konfirmasi nya min.",login netflix min tolong bantu akun error gimana yah udah langgan digunain karna login mohon konfirmasi nya min,login min tolong bantu akun error gimana yah langgan digunain karna login mohon konfirmasi min,netral,netral
Ricky Santoni,5,terima kasih,terima kasih,terima kasih,netral,netral
Satrio Kuncoro Nugroho,1,SAYA TIDAK DAPAT MEMUTAR FILM DI HP INFINIX GT 10 PRO! SUDAH COBA BERBAGAI VERSI AKAN TETAPI TETAP TIDAK BISA?! BODOH KALIAN !,putar film infinix pro coba bodoh,putar film infinix pro coba,netral,netral
ahmad miqdad,1,"tolong netflix akun sy ternyata sdh tidak aktif, dan skrg sy sdh beli pake melalui aplikasi my telkomsel tpi kendalanya tidak bs login di aplikasi netflix, tiap mau login di alihkan jenis berlangganan padahal sy sdh beli paket",tolong netflix akun sdh aktif skrg sdh beli pake aplikasi telkomsel kendala login aplikasi netflix login alih jenis langgan sdh beli paket,tolong akun sdh aktif skrg sdh beli pake telkomsel kendala login login alih jenis langgan sdh beli paket,netral,netral
Kelpin 14,1,"kenapa akhir"" ini flem sakamoto days kita cari gk ada padahal sebelumnya ada",flem sakamoto days cari,flem sakamoto days cari,netral,netral
Mely 088,4,Cocok banget nonton di sini pas gbt,cocok banget nonton pas gbt,cocok banget nonton pas gbt,netral,netral
Enung Ratih indahsari,2,"langganan Netflix mau nonton Wednesday, tapi di pencarian pun ga ada. kenapa ya?",langgan netflix nonton wednesday cari,langgan nonton wednesday cari,netral,netral
Sheva,1,saya baru bayar tadi siang tapi kenapa gak bisa masuk yaa tolong perbaiki netflix,bayar siang masuk yaa tolong baik netflix,bayar siang masuk yaa tolong,netral,netral
Saputri,1,"mau masuk gk bisa, bikin akun juga gk bisa, aplikasi gk jelas",masuk akun aplikasi,masuk akun,netral,netral
